title,creator,date,description,subject,source,Identifier,type,format,rights,filename,objectid,PARENT,publisher,Coverage,contributor,Relation
Ceremonies for the start up of the generator at the Grand Coulee Dam,"U.S. Dept of the Interior, Bonneville Power Administration",1942?,"#1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #4 - is of seven Native Americans on the outside of the dam examining the grounds and the dam itself, where some of the dam water is beginning to flow. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #4 - is of seven Native Americans on the outside of the dam examining the grounds and the dam itself, where some of the dam water is beginning to flow. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #4 - is of seven Native Americans on the outside of the dam examining the grounds and the dam itself, where some of the dam water is beginning to flow. #5 - is of an Native American woman from the Colville Reservation standing at the edge of the dam, with more water rushing through. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #4 - is of seven Native Americans on the outside of the dam examining the grounds and the dam itself, where some of the dam water is beginning to flow. #5 - is of an Native American woman from the Colville Reservation standing at the edge of the dam, with more water rushing through. #1 - is of Chief Jim James and Art Nanamkim from the Colville Indian Reservation in native dress taking part in a broadcast ceremony of the starting of the generator of the Grand Coulee Dam.  The last letters of the radio station's names are blocked out by the sound man. #2 - is of Washington Governor Arthur Langlie, Frank A. Banks and Chief Jim James and Art Nanamkim of the Colville Reservation at the celebration of the starting of the First Generator of the Grand Coulee Dam. #3 - shows five Native Americans inside the facility of the Grand Coulee Dam where the generator is located.  They are looking closely and with interest at the generator. #4 - is of seven Native Americans on the outside of the dam examining the grounds and the dam itself, where some of the dam water is beginning to flow. #5 - is of an Native American woman from the Colville Reservation standing at the edge of the dam, with more water rushing through. 1 print each","Print, Photographic;Dams;Indigenous peoples;Indians of North America;Ceremonies, Grand Coulee Dam;Native Americans, Washington State;Generators, Grand Coulee Dam;Colville Indian Reservation, WA;Nanamkim, Art;James, Chief Jim;Langlie, Gov. Arthur B.;Banks, Frank A.;U.S. Dept of the Interior, Bonneville Power Administration",ASSET: 23715,2006.001.0608,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010608_2.jpg,slo20060010608_2,23710,State Library of Oregon,,,
Thomas Gatch,Cronise,,"Portrait of Thomas Leigh Gatch as a boy, young man, and Naval Officer. Son of Claud and Helen Gatch of Salem, Or., grandson of Thomas M. Gatch, who was President of Willamette U., and Oregon State University. He was born in Salem, graduated from Annapolis and served in the Navy from 1912 to 1947. He was a decorated war hero, was commander of the USS South Dakota in World War II, a JAG lawyer. and retired with the rank of Rear Admiral.","Print, Photographic;Children's portraits, Salem, Or.;U.S. Naval Officers;Rear Admirals;Gatch, Thomas L., 1891-1953;Cronise",ASSET: 42786,2008.001.0613,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010613.jpg,slo20080010613E10,42785,State Library of Oregon,"Salem, Or.",Cronise,
Senator Charles McNary in Buick,Unknown,,"Senator Charles McNary and women in one of the first Buicks in Salem, Or.","Print, Photographic;U.S. Senators, Oregon;Cars, Salem, Or.;Buicks;McNary, Charles L., 1874-1944;Unknown",ASSET: 42855,2008.001.0650,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010650_2.jpg,slo20080010650_2,20563,State Library of Oregon,"Salem, Or..",,
"Hoskins Mill, two views",Unknown,,"Hoskins Mill, Hoskins, Or. Hoskins Mill, Hoskins, Or. Photo 258a- Shows the north end of the mill taken looking south.  Two children and a dog are in the road. Hoskins Mill, Hoskins, Or. Photo 258a- Shows the north end of the mill taken looking south.  Two children and a dog are in the road. Hoskins Mill, Hoskins, Or. Photo 258a- Shows the north end of the mill taken looking south.  Two children and a dog are in the road. Photo 258b- Shows mill and part of the lumber yard taken looking north.  The conveyer crosses the river at Hoskins Mill, Hoskins, Or. Photo 258a- Shows the north end of the mill taken looking south.  Two children and a dog are in the road. Photo 258b- Shows mill and part of the lumber yard taken looking north.  The conveyer crosses the river at                      this end of the mill. The white house is the cook house.  A man, two boys, and a dog are on Hoskins Mill, Hoskins, Or. Photo 258a- Shows the north end of the mill taken looking south.  Two children and a dog are in the road. Photo 258b- Shows mill and part of the lumber yard taken looking north.  The conveyer crosses the river at                      this end of the mill. The white house is the cook house.  A man, two boys, and a dog are on                       a stack of lumber.","Print, Photographic;Lumber mills;Lumber yards;Lumber mills, Hoskins, Or.;Lumber yards, Hoskins, Or.;Mills, Hoskins, Or.;Lumber industry;Hoskins Mill, Or.;Kings Valley, OR;Unknown",ASSET: 23831,2006.001.0756,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010756_4.jpg,slo20060010756_4,23830,State Library of Oregon,,,
"Hull 469, Rogers and Co., Astoria",,,"a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. g-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. g-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. h-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. g-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. h-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. i-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. g-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. h-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. i-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. On each photograph: ""For United States Shipping Board ..."" a-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. b-Hull 469, Rogers and Co., Astoria OR.  Jan 4, 1918.  Wooden. c-Hull 469, Rogers and Co., Astoria OR.  Feb 5, 1917, i.e. 1918 d-Hull 469, Rogers and Co., Astoria OR.  Mar 1, 1918. e-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. f-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. g-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. h-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. i-Hull 469, Rogers and Co., Astoria OR.  Apr 1, 1918. On each photograph: ""For United States Shipping Board ...""","Print, Photographic;Ships;Construction;Shipbuilding;Shipyards;Shipping Board;Rogers and Co.;Hull 469;1918",ASSET: 21251,2004.001.0236,StillImage,image/jpeg,Courtesy of State Library of Oregon,20040010236.jpg,slo20040010236E10,21250,State Library of Oregon,"Astoria, OR",,
"Oregon State Hospital, Salem, OR entrance gate and ground",,c. 1920,"Oregon State Hospital, Salem, OR entrance gate and grounds","Print, Photographic;Hospitals;Hospitals;Oregon State Hospital, Salem, OR",ASSET: 24281,2006.001.1075,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011075.jpg,slo20060011075E10,20562,State Library of Oregon,,,
"Mitchells Entertainers, Salem, Or.?",Unknown,1940-01-01T00:00:00Z,"Group of men and women on a stage with musical instruments and sign ""Mitchells Entertainers"" There are two main views,  one standing with their instruments in front of them on the floor, and one where they are holding their instruments.","Print, Photographic;Entertainers, Salem, Or.;Musicians, Salem, Or.;Musical groups, Salem, Or.;Group portraits, Salem, Or.;Unknown",ASSET: 24157,2006.001.0958,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010958_2.jpg,slo20060010958_2,24155,State Library of Oregon,1940,,
Myra Sperry's portraits of unidentified women from Salem area,Myra Sperry,,"Portraits are from Sperry's E-1 series, and the scans are taken from the original glass negatives. Sperry was in business in Salem from 1889 to 1899. Photos were chosen for details of dress or hairstyle, for beauty of subject or dress, or for elements that best represent the fashions of the last decade of the 19th century.","Print, Photographic;Portrait photographs;Clothing & dress;Women's portraits, Salem, Or.;Women's clothing & fashions, late 19th century;Late Victorian fashions;Women's hats, late 19th century;Women's hairstyles, late 19th century;Women's accessories, late 19th century;Myra Sperry",ASSET: 39121,2007.001.0289,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010289_7.jpg,slo20070010289_7,39101,State Library of Oregon,"1889 - 1899; Salem, Or..",Sperry The Artist,
Scenes of Willamette Falls and Oregon City houses and buildings,W. H. Howell,,"#1 - Cochran House (Albin Post House) - This house was at 1115 Washington St., Oregon City. Built by Albin Post in 1852. During the flood of 1860-61, Gov. Abernethy and his family took refuge there when their house was washed away. #2 - Cliff House Hotel, about 1890. #3 - Willamette Falls #4 - Main Street, during 1890 flood. #5 - First bridge across the Willamette River in Oregon City (1888-1924) #6 - Green Point, 1890 flood #7 - Oregon City Female Seminary, also called Clackamas County Female Seminary. Founded by George H. Atkinson in 1849,  built on land donated by Dr. McLaughlin. #8 - Drawing of factories along the Willamette River in Oregon City in the 1880s. Taken from an old print.","Print, Photographic;Bridges, Clackamas County, Or;Oregon City Bridge;Flood, 1890, Oregon City;Clackamas County Female Seminary, Oregon City;Oregon City Female Seminary;Street scenes, Oregon City;Main Street, Oregon City, 1890;Historic houses, Oregon City;Historic buildings, Oregon City;W. H. Howell",ASSET: 23413,2006.001.0406,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060010406_4.jpg,slo20060010406_4,23407,State Library of Oregon,,,
Mrs. Sarah West and Tom Gatch,Helen Gatch,ca. 1900,"Mrs. Sarah West on steps holding the foot of Tom Gatch, ca. 1900. This photo was later selected as Life Magazine Picture of the Week, January 18, 1943 (also in Box 2). ""From a small boy's foot in 1900 Mrs. Sarah West of Salem, Ore. removes a splinter. The boy is now Capt. Thomas Gatch, whose U.S. battleship shot down 32 Jap planes."" Mrs. Sarah West on steps holding the foot of Tom Gatch, ca. 1900. This photo was later selected as Life Magazine Picture of the Week, January 18, 1943 (also in Box 2). ""From a small boy's foot in 1900 Mrs. Sarah West of Salem, Ore. removes a splinter. The boy is now Capt. Thomas Gatch, whose U.S. battleship shot down 32 Jap planes."" This photo is bound to be under copyright to someone so do not put on the Web!!!!","Print, Photographic;Life Magazine ""Photo of the Week"";West, Sarah, 1833-1910;Gatch, Thomas L., 1891-1953;Helen Gatch",ASSET: 42781,2008.001.0609,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010609.jpg,slo20080010609E10,20563,State Library of Oregon,"Salem, Or",,
Group Portrait,J. J. Hall,,Group portrait of young men and women.,"Print, Photographic;Group portrait, Woodburn, Or.;Students, Woodburn, Or.;Woodburn High School;J. J. Hall",ASSET: 43428,2008.001.1030,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080011030.jpg,slo2008001103E10,20563,State Library of Oregon,"Woodburn, Or.",J. J. Hall,
Young women,Unknown,,group of unidentified young women posing for the camera,"Print, Photographic;Group portraits;Humorous photographs, early 20th century;Unknown",ASSET: 42552,2008.001.0454,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010454_2.jpg,slo20080010454_2,20563,State Library of Oregon,,,
"Yaquina Bay Lighthouse, Newport, Or.",Unknown,,"Second oldest standing lighthouse on the Oregon Coast, located at the north end of the Yaquina Bay Bridge. Now a museum. Built in 1871 to serve as a guide to ships entering the Bay, it was only in use for 3 years. The building of Yaquina Head Lighthouse 4 miles to the north in 1873 brought an end to the usefullness of the Newport lighthouse. In 1946 the lighthouse was to be demolished, but the Lincoln County Historical Society was formed to save it. In 1974 it was restored and put on the National Register, and the Historical Society gave it to the Oregon State Parks Department.","Print, Photographic;Lighthouses, Lincoln County, Or.;Newport Lighthouse, Newport, Or.;Yaquina Bay Lighthouse, Newport, Or.;National Register of Historic Places, Lincoln County, Or.;Unknown",ASSET: 32261,2007.001.0026,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070010026.jpg,slo20070010026E10,20562,State Library of Oregon,,,
"Japanese Boy Scouts, Union Station, c. 1930",Unknown,ca. 1930s,"Japanese American Boy Scouts at Union Station in Portland, Or.","Print, Photographic;Boy Scouts of America, Portland, Or.;Japanese-American Boy Scouts, Portland, Or.;Union Station, Portland, Or.;Unknown",ASSET: 24721,2006.001.1213,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011213_1.jpg,slo20060011213_1,20562,State Library of Oregon,,,
George Rodgers,Cronise,ca. 1895,"Portrait of George F. Rodgers in formal dress with a flower in his buttonhole. Rodgers was a  Mayor of Salem, 1907-1810, a member of the 1907 Regular Session of the House, President of Rodgers Paper Co. in Salem, and during World War I, his George F. Rodgers & Co. shipyard in Astoria built ships for the war effort.","Print, Photographic;Men's portraits, Salem, Or.;Mayors, Salem, Or.;Legislators, Marion County, Or.;Rodgers, George F., 1872-1924;Cronise",ASSET: 41054,2007.001.1096,StillImage,image/jpeg,Courtesy of State Library of Oregon,20070011096.jpg,slo20070011096E10,20563,State Library of Oregon,"Salem, Or.",Cronise,
"Marysville Mining Operations, Grant County, Or.",,1890s,"Maryville, California is the mother of Marysville, Oregon. In 1862, a small group of prospectors from the California town found traces of gold in Dog Creek and traced them to a ledge on a hill and named the camp Marysville. Two years later, the population numbered several hundred including about twenty children who needed a schoolhouse. One was built but like most other buildings in the town, was not built to last. Today, the collapsed remains of the schoolhouse is all that remains of Marysville. Maryville, California is the mother of Marysville, Oregon. In 1862, a small group of prospectors from the California town found traces of gold in Dog Creek and traced them to a ledge on a hill and named the camp Marysville. Two years later, the population numbered several hundred including about twenty children who needed a schoolhouse. One was built but like most other buildings in the town, was not built to last. Today, the collapsed remains of the schoolhouse is all that remains of Marysville. This photo of Marysville mining operations has a single structure in the foreground. Maryville, California is the mother of Marysville, Oregon. In 1862, a small group of prospectors from the California town found traces of gold in Dog Creek and traced them to a ledge on a hill and named the camp Marysville. Two years later, the population numbered several hundred including about twenty children who needed a schoolhouse. One was built but like most other buildings in the town, was not built to last. Today, the collapsed remains of the schoolhouse is all that remains of Marysville. This photo of Marysville mining operations has a single structure in the foreground. Maryville, California is the mother of Marysville, Oregon. In 1862, a small group of prospectors from the California town found traces of gold in Dog Creek and traced them to a ledge on a hill and named the camp Marysville. Two years later, the population numbered several hundred including about twenty children who needed a schoolhouse. One was built but like most other buildings in the town, was not built to last. Today, the collapsed remains of the schoolhouse is all that remains of Marysville. This photo of Marysville mining operations has a single structure in the foreground. 6 prints","Print, Photographic;Ghost towns;Mines, Marysville, Or.;Mines, Grant County Or.;Mining operations, Grant County, Or.;Ghost towns, Grant County, Or.",ASSET: 23778,2006.001.020.,StillImage,image/jpeg,Courtesy of State Library of Oregon,2006001020.jpg,slo200600102E9,20562,State Library of Oregon,1890,,
Group on Horseback,,,"Group on horseback. From left to right: Scotty (man standing), Charlotte, Dug McKay and Favia Downs.","Print, Photographic;Scotty;Charlotte;Dug McKay;Flavia Downs;Horses;Scotty;Charlotte;McKay, Dug;Downs, Flavia",ASSET: 42840,2008.001.0644,StillImage,image/jpeg,Courtesy of State Library of Oregon,20080010644_2.jpg,slo20080010644_2,42838,State Library of Oregon,,,
Early photo of Deepwood mansion,,ca. 1895,"This is an early photo of the  Historic Deepwood Estate on Mission St. at 12th in Salem, Oregon. The home was designed by William C. Knighton in 1894 for Dr. Luke A. Port. Dr. Port and his wife sold it to Mr & Mrs. George Bingham, who occupied the house from 1895 until their deaths in 1924.  There is a young girl sitting on the rails of the front porch.  The carriage house has not yet been built, nor the gardens and greenhouse.  Deepwood is a classic Queen Anne style house, and the grounds include over five acres of formal gardens, nature trails, tennis courts, greenhouses, and a carriage house. The house itself is a two-story building with a third-story tower room. The gardens were designed in 1929 by landscape architects Elizabeth Lord & Edith Schryver and include a gazebo.","Print, Photographic;Deepwood mansion, Salem, Or.;Queen Anne style architecture, Salem, Or.;Historic houses, Salem, Or.;Knighton, William C.",ASSET: 22716,2005.001.0416,StillImage,image/jpeg,Courtesy of State Library of Oregon,20050010416.jpg,slo20050010416E10,20562,State Library of Oregon,"Salem, Or.",Trover Studio,
Log trucks and loading crane on Salmon River Highway,WPA Staff photographer,1939-01-01T00:00:00Z,"Log trucks on the side of the road with logs bound for the Dallas Mill.  Log loading crane is across the road from the trucks, a half mile west of New Grand Ronde on Salmon River Highway.","Print, Photographic;Log trucks;Logs;Log trucks;Logs;Log-loading cranes;Salmon River Highway, Oregon;WPA Staff photographer",ASSET: 28161,2006.001.1388,StillImage,image/jpeg,Courtesy of State Library of Oregon,20060011388.jpg,slo20060011388E10,20562,State Library of Oregon,1939,,
